Gene Symbol,Gene ID,PCC
MEP1B,ENSG00000141434.11,0.63
VWA5B2,ENSG00000145198.14,0.63
RFX6,ENSG00000185002.9,0.62
AC123023.1,ENSG00000236452.1,0.62
RP11-117L5.1,ENSG00000279905.1,0.61
FDPSP3,ENSG00000258872.2,0.61
RP5-984P4.4,ENSG00000233492.1,0.61
INSM1,ENSG00000173404.4,0.61
RP11-117L5.4,ENSG00000256064.1,0.61
CADPS,ENSG00000163618.17,0.6
SEC11C,ENSG00000166562.8,0.6
GPR119,ENSG00000147262.3,0.6
KCNH6,ENSG00000173826.14,0.6
CACNA1A,ENSG00000141837.18,0.59
RP5-1007F24.1,ENSG00000280255.1,0.59
RP11-299H22.6,ENSG00000261296.1,0.59
RP11-388N2.1,ENSG00000233516.1,0.59
RP11-470C13.4,ENSG00000280229.1,0.59
RPRML,ENSG00000179673.4,0.59
RIMBP2,ENSG00000060709.13,0.59
FEV,ENSG00000163497.2,0.58
LINC01079,ENSG00000229609.1,0.58
TMEM61,ENSG00000143001.4,0.58
RPL35P8,ENSG00000226142.2,0.58
MIR670HG,ENSG00000235661.2,0.58
RP11-268G13.1,ENSG00000261411.1,0.58
RP11-216L13.19,ENSG00000273066.5,0.58
KCNK16,ENSG00000095981.10,0.58
PTGDR2,ENSG00000183134.4,0.58
RP11-486M3.3,ENSG00000275419.1,0.57
FREM1,ENSG00000164946.19,0.57
SEZ6,ENSG00000063015.19,0.57
RP5-984P4.6,ENSG00000278041.1,0.57
HEPACAM2,ENSG00000188175.9,0.57
RP11-117L5.3,ENSG00000279146.1,0.57
CER1,ENSG00000147869.4,0.56
RPS10P28,ENSG00000243167.1,0.56
AC004540.4,ENSG00000225792.1,0.56
VGF,ENSG00000128564.6,0.56
SLC18A1,ENSG00000036565.14,0.56
AC004603.4,ENSG00000225877.1,0.56
ADGRG4,ENSG00000156920.10,0.56
RP11-55K22.2,ENSG00000213109.4,0.56
GRIN2C,ENSG00000161509.13,0.56
AMER3,ENSG00000178171.10,0.56
RP11-555G19.2,ENSG00000279046.1,0.56
AC005019.3,ENSG00000224330.1,0.56
SCG2,ENSG00000171951.4,0.55
GUCY2C,ENSG00000070019.4,0.55
RNU1-24P,ENSG00000201155.1,0.55
TMEM236,ENSG00000148483.8,0.55
RP11-26M5.3,ENSG00000254314.1,0.55
NEURL1,ENSG00000107954.10,0.55
RP11-100K18.1,ENSG00000266213.1,0.55
CRYBA2,ENSG00000163499.11,0.55
AC011899.10,ENSG00000231980.1,0.55
PBOV1,ENSG00000254440.3,0.55
MS4A8,ENSG00000166959.7,0.55
ATOH1,ENSG00000172238.4,0.55
LINC00616,ENSG00000248307.5,0.55
SSTR2,ENSG00000180616.8,0.55
PNPLA7,ENSG00000130653.15,0.55
CELF3,ENSG00000159409.14,0.55
RP11-531A24.3,ENSG00000260838.3,0.55
ELAVL4,ENSG00000162374.16,0.55
RP11-328K2.1,ENSG00000254048.1,0.54
UCN3,ENSG00000178473.6,0.54
OR14I1,ENSG00000189181.4,0.54
AC137723.5,ENSG00000235296.1,0.54
HAUS1P3,ENSG00000253226.1,0.54
PRKRIRP8,ENSG00000223963.2,0.54
AC018359.1,ENSG00000226320.5,0.54
RP11-461F11.2,ENSG00000279091.1,0.54
RP4-666F24.3,ENSG00000233730.1,0.54
GNA14,ENSG00000156049.6,0.53
OR51E1,ENSG00000180785.8,0.53
RP11-12C17.2,ENSG00000233271.1,0.53
DDC,ENSG00000132437.17,0.53
DDC-AS1,ENSG00000226122.1,0.53
FHP1,ENSG00000234213.1,0.53
RFX3-AS1,ENSG00000232104.3,0.53
RAB26,ENSG00000167964.12,0.53
CCDC183,ENSG00000213213.13,0.53
LINC00261,ENSG00000259974.2,0.53
ST18,ENSG00000147488.11,0.53
CGA,ENSG00000135346.8,0.53
RP11-181D18.4,ENSG00000254273.1,0.53
SPTBN4,ENSG00000160460.15,0.53
LINC00951,ENSG00000204092.2,0.53
CTD-2151A2.3,ENSG00000248928.1,0.53
C2CD4B,ENSG00000205502.3,0.53
CTD-2165H16.3,ENSG00000248791.1,0.52
RP11-299H22.3,ENSG00000166104.14,0.52
RP11-44F21.2,ENSG00000248165.1,0.52
BTBD17,ENSG00000204347.3,0.52
SYT13,ENSG00000019505.7,0.52
RP11-119H12.4,ENSG00000234841.4,0.52
TNR,ENSG00000116147.16,0.52
RP11-313C15.2,ENSG00000278193.1,0.52
LINC01268,ENSG00000227502.2,0.52
