Gene Symbol,Gene ID,PCC
WARS,ENSG00000140105.17,0.72
LCP1,ENSG00000136167.13,0.71
LILRA1,ENSG00000104974.10,0.67
CCR1,ENSG00000163823.3,0.67
IL27,ENSG00000197272.2,0.66
SRGN,ENSG00000122862.4,0.66
CD80,ENSG00000121594.11,0.64
CCR5,ENSG00000160791.13,0.64
PIK3AP1,ENSG00000155629.14,0.64
SAMSN1,ENSG00000155307.17,0.64
GBP5,ENSG00000154451.14,0.64
THEMIS2,ENSG00000130775.15,0.64
CD274,ENSG00000120217.13,0.64
LAP3,ENSG00000002549.12,0.63
GBP4,ENSG00000162654.8,0.63
LILRB1,ENSG00000104972.14,0.63
CCL4,ENSG00000275302.1,0.63
HAVCR2,ENSG00000135077.8,0.63
FPR3,ENSG00000187474.4,0.63
STX11,ENSG00000135604.9,0.63
CD86,ENSG00000114013.15,0.62
GK,ENSG00000198814.12,0.62
FPR2,ENSG00000171049.8,0.62
SLC31A2,ENSG00000136867.10,0.62
CXCR2P1,ENSG00000229754.1,0.62
TNFRSF1B,ENSG00000028137.16,0.62
IL10RA,ENSG00000110324.9,0.61
SH2D2A,ENSG00000027869.11,0.61
IRF1,ENSG00000125347.13,0.61
PLEK,ENSG00000115956.9,0.61
PTPRJ,ENSG00000149177.12,0.61
OSTF1,ENSG00000134996.11,0.61
TNFRSF9,ENSG00000049249.8,0.6
PDCD1LG2,ENSG00000197646.7,0.6
SIGLEC14,ENSG00000254415.3,0.6
C1QC,ENSG00000159189.11,0.6
SIGLEC7,ENSG00000168995.13,0.6
APOL3,ENSG00000128284.19,0.6
ITGAM,ENSG00000169896.16,0.6
MNDA,ENSG00000163563.7,0.6
GPR65,ENSG00000140030.5,0.6
IFI30,ENSG00000216490.3,0.6
CSF2RB,ENSG00000100368.13,0.6
MPEG1,ENSG00000197629.5,0.59
CYBB,ENSG00000165168.7,0.59
LAIR1,ENSG00000167613.15,0.59
IL15,ENSG00000164136.16,0.59
ICAM1,ENSG00000090339.8,0.59
TAP1,ENSG00000168394.10,0.59
SIRPB2,ENSG00000196209.12,0.59
LYN,ENSG00000254087.7,0.59
IDO1,ENSG00000131203.12,0.59
LCP2,ENSG00000043462.11,0.59
IL12RB1,ENSG00000096996.15,0.59
LGALS9,ENSG00000168961.16,0.59
GBP1,ENSG00000117228.9,0.59
NCKAP1L,ENSG00000123338.12,0.58
C1QB,ENSG00000173369.15,0.58
CTSD,ENSG00000117984.12,0.58
CXCL10,ENSG00000169245.5,0.58
KLHDC7B,ENSG00000130487.5,0.58
DOK2,ENSG00000147443.12,0.58
GIMAP4,ENSG00000133574.9,0.58
SECTM1,ENSG00000141574.7,0.58
CD53,ENSG00000143119.12,0.58
FGD2,ENSG00000146192.14,0.58
ITGAL,ENSG00000005844.17,0.58
B2M,ENSG00000166710.17,0.58
CD84,ENSG00000066294.14,0.58
SCIMP,ENSG00000161929.14,0.58
LRRC25,ENSG00000175489.9,0.58
PTAFR,ENSG00000169403.11,0.57
LILRB2,ENSG00000131042.13,0.57
IL15RA,ENSG00000134470.19,0.57
ADGRE5,ENSG00000123146.19,0.57
CXorf21,ENSG00000120280.5,0.57
C3AR1,ENSG00000171860.4,0.57
CRTAM,ENSG00000109943.8,0.57
CD68,ENSG00000129226.13,0.57
FYB,ENSG00000082074.15,0.57
HLA-DPA1,ENSG00000231389.7,0.57
P2RY6,ENSG00000171631.14,0.57
GPR84,ENSG00000139572.3,0.57
GLRX,ENSG00000173221.13,0.57
IL18BP,ENSG00000137496.17,0.57
DOCK2,ENSG00000134516.15,0.57
HCK,ENSG00000101336.12,0.57
STK10,ENSG00000072786.12,0.56
CXCR6,ENSG00000172215.5,0.56
INPP5D,ENSG00000168918.13,0.56
GIMAP2,ENSG00000106560.10,0.56
FMNL1,ENSG00000184922.13,0.56
TNFSF13B,ENSG00000102524.11,0.56
RP11-202G18.1,ENSG00000227531.1,0.56
TIFAB,ENSG00000255833.1,0.56
SLA,ENSG00000155926.13,0.56
FASLG,ENSG00000117560.7,0.56
SIGLEC9,ENSG00000129450.8,0.56
TLR1,ENSG00000174125.7,0.56
ICOS,ENSG00000163600.12,0.56
