Gene Symbol,Gene ID,PCC
WNT4,ENSG00000162552.14,0.75
LINC01451,ENSG00000279141.3,0.74
CHL1-AS2,ENSG00000224318.5,0.73
RP11-35N6.1,ENSG00000148123.14,0.72
MAL2,ENSG00000147676.13,0.71
AC069277.2,ENSG00000189229.10,0.68
AC002064.7,ENSG00000280440.1,0.68
HUNK,ENSG00000142149.8,0.68
FGF13,ENSG00000129682.13,0.67
RP11-1260E13.4,ENSG00000262061.5,0.67
STK32B,ENSG00000152953.12,0.66
RP11-110L15.1,ENSG00000257781.1,0.66
RPL34P21,ENSG00000244451.1,0.65
IGHV2-5,ENSG00000211937.3,0.65
RP11-744K17.8,ENSG00000266885.2,0.64
CH17-224D4.2,ENSG00000282651.1,0.64
RP13-81N3.2,ENSG00000256888.5,0.64
CTD-2089O24.2,ENSG00000251627.1,0.64
RPL10L,ENSG00000165496.4,0.64
IGHV3-49,ENSG00000211965.3,0.64
IGHV3-64,ENSG00000223648.3,0.64
IGKV3-15,ENSG00000244437.1,0.64
IGKV6-21,ENSG00000211611.2,0.64
IGKV1D-17,ENSG00000242766.1,0.64
RP11-1437A8.3,ENSG00000260419.1,0.64
RP11-586K12.8,ENSG00000260974.1,0.64
RP11-56L13.7,ENSG00000260575.1,0.64
RP11-526D8.7,ENSG00000226668.5,0.64
Z95114.4,ENSG00000233764.1,0.64
AL022237.3,ENSG00000234735.1,0.64
BIRC8,ENSG00000163098.4,0.64
RP11-539E19.2,ENSG00000235279.1,0.64
RP1-290I10.7,ENSG00000229401.1,0.64
MEMO1P4,ENSG00000230376.1,0.64
RN7SL310P,ENSG00000240663.3,0.64
CTA-363E6.5,ENSG00000260681.1,0.64
AC112220.2,ENSG00000228112.1,0.64
DEFB109P1B,ENSG00000206034.1,0.64
PABPC1P9,ENSG00000229658.1,0.64
RN7SL478P,ENSG00000277946.1,0.64
KRT26,ENSG00000186393.5,0.64
LINC01596,ENSG00000250666.1,0.64
OR7A11P,ENSG00000198367.3,0.64
RNU2-5P,ENSG00000222465.1,0.64
RNU1-70P,ENSG00000199488.1,0.64
FAM32B,ENSG00000203416.3,0.64
AC108032.1,ENSG00000227004.2,0.64
ENSAP3,ENSG00000177261.8,0.64
RP11-65J3.15,ENSG00000268615.1,0.64
TOMM20P3,ENSG00000263935.1,0.64
RP4-697K14.3,ENSG00000230226.1,0.64
RNU2-25P,ENSG00000222973.1,0.64
RP11-3L10.2,ENSG00000227371.1,0.64
RP11-769N22.2,ENSG00000276507.1,0.64
DEFB109P1B,ENSG00000205989.1,0.64
RP11-349A22.2,ENSG00000258836.2,0.64
RP11-40H19.1,ENSG00000255347.1,0.64
RP11-92C4.4,ENSG00000229338.1,0.64
RP11-688I9.4,ENSG00000254938.1,0.64
ATP5G1P1,ENSG00000230157.1,0.64
RP11-157B13.7,ENSG00000267872.1,0.64
RP11-7F18.1,ENSG00000241961.1,0.64
RP11-17A4.3,ENSG00000253139.1,0.64
CTBP2P3,ENSG00000267153.1,0.64
POLR3KP2,ENSG00000265469.1,0.64
LINC01304,ENSG00000237401.6,0.64
Z95114.6,ENSG00000225557.1,0.64
RP11-259P1.1,ENSG00000224192.2,0.64
AC099342.1,ENSG00000226097.5,0.64
IGLVI-70,ENSG00000253239.1,0.64
TPM3P4,ENSG00000214869.5,0.64
LINC01467,ENSG00000258977.1,0.64
IGLV1-62,ENSG00000253823.1,0.64
GPR53P,ENSG00000229281.1,0.64
BLZF2P,ENSG00000258565.1,0.64
PCNAP1,ENSG00000249065.2,0.64
RP11-129G17.2,ENSG00000275015.1,0.64
CTB-159G17.3,ENSG00000270518.2,0.64
VN1R64P,ENSG00000213547.3,0.64
EEF1A1P42,ENSG00000277043.1,0.64
BNIP3P7,ENSG00000270496.1,0.64
RP11-314M24.1,ENSG00000240241.5,0.64
RPL17P46,ENSG00000239689.1,0.64
RP1-261G23.4,ENSG00000218107.1,0.64
OR6K1P,ENSG00000231237.1,0.64
CTD-2501O3.2,ENSG00000243154.1,0.64
RP11-348H3.4,ENSG00000235182.1,0.64
CNTN4-AS2,ENSG00000227588.2,0.64
RP11-135A24.2,ENSG00000229327.1,0.64
IGLV2-34,ENSG00000253120.1,0.64
IGLV8-61,ENSG00000211638.2,0.64
IGHV4-31,ENSG00000231475.3,0.64
TRPC5,ENSG00000072315.3,0.63
ACYP1,ENSG00000119640.8,0.63
GRM7,ENSG00000196277.15,0.63
WDFY3-AS1,ENSG00000251260.1,0.63
RP11-3L10.3,ENSG00000234985.2,0.63
UBE2DNL,ENSG00000229547.4,0.63
AP000233.4,ENSG00000222042.1,0.63
IGLV2-11,ENSG00000211668.2,0.63
