Gene Symbol,Gene ID,PCC
APOL3,ENSG00000128284.19,0.69
USP30-AS1,ENSG00000256262.1,0.66
ACSL5,ENSG00000197142.10,0.64
EPSTI1,ENSG00000133106.14,0.64
CTA-212A2.1,ENSG00000279805.1,0.63
OAS2,ENSG00000111335.12,0.62
APOBEC3D,ENSG00000243811.7,0.62
TRIM21,ENSG00000132109.9,0.62
IFITM1,ENSG00000185885.15,0.62
PML,ENSG00000140464.19,0.61
PSME2,ENSG00000100911.13,0.61
IL22RA1,ENSG00000142677.3,0.61
PARP12,ENSG00000059378.12,0.61
HLA-DPA1,ENSG00000231389.7,0.61
HSH2D,ENSG00000196684.12,0.61
CASP1,ENSG00000137752.22,0.61
IRF7,ENSG00000185507.19,0.6
APOL1,ENSG00000100342.20,0.6
IL15RA,ENSG00000134470.19,0.6
TYMP,ENSG00000025708.12,0.6
GBP5,ENSG00000154451.14,0.6
CD74,ENSG00000019582.14,0.6
ZBP1,ENSG00000124256.14,0.6
ODF3B,ENSG00000177989.13,0.59
APOBEC3G,ENSG00000239713.7,0.59
SP140,ENSG00000079263.18,0.59
DDX60,ENSG00000137628.16,0.59
TRIM22,ENSG00000132274.15,0.59
LAP3,ENSG00000002549.12,0.59
PARP14,ENSG00000173193.13,0.58
MLKL,ENSG00000168404.12,0.58
RTP4,ENSG00000136514.2,0.58
IL15,ENSG00000164136.16,0.58
SAMD9L,ENSG00000177409.11,0.57
CIITA,ENSG00000179583.17,0.57
PRRG4,ENSG00000135378.3,0.57
IFI27,ENSG00000165949.12,0.57
APOL6,ENSG00000221963.5,0.57
IL2RG,ENSG00000147168.12,0.57
OAS3,ENSG00000111331.12,0.56
SAMHD1,ENSG00000101347.8,0.56
OASL,ENSG00000135114.12,0.56
SLC15A3,ENSG00000110446.9,0.56
CD7,ENSG00000173762.7,0.56
IL12RB1,ENSG00000096996.15,0.56
SP100,ENSG00000067066.16,0.56
PSTPIP2,ENSG00000152229.18,0.56
MX1,ENSG00000157601.13,0.56
CMPK2,ENSG00000134326.11,0.56
DTX3L,ENSG00000163840.9,0.55
KIR2DL4,ENSG00000189013.14,0.55
RP11-1094M14.8,ENSG00000267369.1,0.55
HLA-F,ENSG00000204642.13,0.55
PARP9,ENSG00000138496.16,0.55
SP110,ENSG00000135899.16,0.55
NMI,ENSG00000123609.10,0.55
HACD4,ENSG00000188921.13,0.55
SLA2,ENSG00000101082.13,0.55
B2M,ENSG00000166710.17,0.55
PSME2P2,ENSG00000225131.2,0.55
RP11-329N15.3,ENSG00000279320.1,0.55
USP18,ENSG00000184979.9,0.55
PTPN2,ENSG00000175354.18,0.54
SERPINB9,ENSG00000170542.5,0.54
ETV7,ENSG00000010030.13,0.54
TRAT1,ENSG00000163519.13,0.54
HLA-DPB1,ENSG00000223865.10,0.54
KLHDC7B,ENSG00000130487.5,0.54
TNFSF13B,ENSG00000102524.11,0.54
IRF1,ENSG00000125347.13,0.54
BST2,ENSG00000130303.12,0.53
TRAC,ENSG00000277734.4,0.53
ZNRF2,ENSG00000180233.10,0.53
GBP1,ENSG00000117228.9,0.53
IFI44,ENSG00000137965.10,0.53
IFIH1,ENSG00000115267.5,0.53
CD48,ENSG00000117091.9,0.53
CTSW,ENSG00000172543.7,0.53
ANO9,ENSG00000185101.12,0.53
HLA-DQB2,ENSG00000232629.8,0.53
MX2,ENSG00000183486.12,0.53
TNFAIP8,ENSG00000145779.7,0.53
HLA-B,ENSG00000234745.9,0.53
CARD16,ENSG00000204397.7,0.52
IFITM3,ENSG00000142089.15,0.52
RAET1G,ENSG00000203722.7,0.52
PLSCR1,ENSG00000188313.12,0.52
TAP2,ENSG00000204267.13,0.52
LCP2,ENSG00000043462.11,0.52
JAK2,ENSG00000096968.12,0.52
ATP2A3,ENSG00000074370.17,0.52
MS4A14,ENSG00000166928.10,0.52
PCED1B,ENSG00000179715.12,0.52
ASCL2,ENSG00000183734.4,0.52
GBP4,ENSG00000162654.8,0.52
GPR132,ENSG00000183484.11,0.52
UNC93B1,ENSG00000110057.7,0.52
ARHGAP9,ENSG00000123329.17,0.52
MICB,ENSG00000204516.9,0.52
IFI35,ENSG00000068079.7,0.52
