Gene Symbol,Gene ID,PCC,Tumor
MAL2,ENSG00000147676.13,0.65,KICH Tumor
CLDN7,ENSG00000181885.18,0.62,KICH Tumor
C11orf52,ENSG00000149300.9,0.6,KICH Tumor
CDS1,ENSG00000163624.5,0.59,KICH Tumor
AP5B1,ENSG00000254470.2,0.58,KICH Tumor
PDXDC1,ENSG00000179889.18,0.57,KICH Tumor
SYAP1,ENSG00000169895.5,0.57,KICH Tumor
CTSD,ENSG00000117984.12,0.57,KICH Tumor
LANCL2,ENSG00000132434.9,0.57,KICH Tumor
RPS6KA2,ENSG00000071242.11,0.56,KICH Tumor
SPTSSA,ENSG00000165389.6,0.56,KICH Tumor
PPCS,ENSG00000127125.8,0.56,KICH Tumor
TMED10,ENSG00000170348.8,0.55,KICH Tumor
AGA,ENSG00000038002.8,0.55,KICH Tumor
ARAP2,ENSG00000047365.11,0.55,KICH Tumor
CDC42,ENSG00000070831.15,0.55,KICH Tumor
OGDH,ENSG00000105953.14,0.55,KICH Tumor
MTCH2,ENSG00000109919.9,0.55,KICH Tumor
CTAGE5,ENSG00000150527.16,0.54,KICH Tumor
LYN,ENSG00000254087.7,0.54,KICH Tumor
IFNLR1,ENSG00000185436.11,0.54,KICH Tumor
BSND,ENSG00000162399.6,0.54,KICH Tumor
PRSS16,ENSG00000112812.15,0.54,KICH Tumor
ABCA5,ENSG00000154265.15,0.54,KICH Tumor
SMCO4,ENSG00000166002.6,0.54,KICH Tumor
INADL,ENSG00000132849.18,0.54,KICH Tumor
LAP3,ENSG00000002549.12,0.54,KICH Tumor
SAMD12,ENSG00000177570.13,0.53,KICH Tumor
SORL1,ENSG00000137642.12,0.53,KICH Tumor
CDC42BPG,ENSG00000171219.8,0.53,KICH Tumor
HARBI1,ENSG00000180423.4,0.53,KICH Tumor
ATP6V0D1,ENSG00000159720.11,0.53,KICH Tumor
KIAA0232,ENSG00000170871.11,0.53,KICH Tumor
MIEF2,ENSG00000177427.12,0.53,KICH Tumor
ALPK3,ENSG00000136383.6,0.53,KICH Tumor
SPINT1,ENSG00000166145.14,0.52,KICH Tumor
PAK1,ENSG00000149269.9,0.52,KICH Tumor
CMPK1,ENSG00000162368.13,0.52,KICH Tumor
MYO6,ENSG00000196586.13,0.52,KICH Tumor
BSDC1,ENSG00000160058.18,0.52,KICH Tumor
EXD2,ENSG00000081177.18,0.52,KICH Tumor
LRBA,ENSG00000198589.10,0.52,KICH Tumor
MCCC2,ENSG00000131844.15,0.52,KICH Tumor
PI4K2B,ENSG00000038210.12,0.52,KICH Tumor
GCLM,ENSG00000023909.9,0.52,KICH Tumor
EIF4G2,ENSG00000110321.15,0.52,KICH Tumor
EPB41,ENSG00000159023.18,0.52,KICH Tumor
PBDC1,ENSG00000102390.10,0.51,KICH Tumor
CRADD,ENSG00000169372.12,0.51,KICH Tumor
HECTD1,ENSG00000092148.12,0.51,KICH Tumor
STK3,ENSG00000104375.15,0.51,KICH Tumor
WDR1,ENSG00000071127.16,0.51,KICH Tumor
SNX2,ENSG00000205302.6,0.51,KICH Tumor
ARHGEF38,ENSG00000236699.8,0.51,KICH Tumor
BAG5,ENSG00000166170.9,0.51,KICH Tumor
DAAM1,ENSG00000100592.15,0.51,KICH Tumor
SH3RF1,ENSG00000154447.14,0.51,KICH Tumor
DLG3,ENSG00000082458.11,0.51,KICH Tumor
RP11-565P22.6,ENSG00000254706.2,0.51,KICH Tumor
F11R,ENSG00000158769.17,0.51,KICH Tumor
USP27X-AS1,ENSG00000234390.4,0.51,KICH Tumor
CYCS,ENSG00000172115.8,0.51,KICH Tumor
TLR5,ENSG00000187554.11,0.51,KICH Tumor
MTM1,ENSG00000171100.14,0.51,KICH Tumor
MAGT1,ENSG00000102158.19,0.51,KICH Tumor
TTC19,ENSG00000011295.15,0.51,KICH Tumor
WDR20,ENSG00000140153.17,0.51,KICH Tumor
GALM,ENSG00000143891.16,0.51,KICH Tumor
NNT,ENSG00000112992.16,0.51,KICH Tumor
MAPK1IP1L,ENSG00000168175.14,0.51,KICH Tumor
FBXL14,ENSG00000171823.6,0.51,KICH Tumor
EPCAM,ENSG00000119888.10,0.51,KICH Tumor
ABCD3,ENSG00000117528.11,0.51,KICH Tumor
RAP1A,ENSG00000116473.14,0.5,KICH Tumor
TMEM167B,ENSG00000215717.5,0.5,KICH Tumor
LRRC8B,ENSG00000197147.12,0.5,KICH Tumor
SPAG1,ENSG00000104450.12,0.5,KICH Tumor
CYB561,ENSG00000008283.15,0.5,KICH Tumor
ADCK1,ENSG00000063761.15,0.5,KICH Tumor
