Gene Symbol,Gene ID,PCC,Tumor
LCP2,ENSG00000043462.11,0.74,LGG Tumor
CASP4,ENSG00000196954.12,0.72,LGG Tumor
PLEK,ENSG00000115956.9,0.72,LGG Tumor
IFI30,ENSG00000216490.3,0.72,LGG Tumor
CLEC2B,ENSG00000110852.4,0.71,LGG Tumor
SH2D2A,ENSG00000027869.11,0.7,LGG Tumor
CLEC7A,ENSG00000172243.17,0.7,LGG Tumor
ELF4,ENSG00000102034.16,0.7,LGG Tumor
IL4R,ENSG00000077238.13,0.7,LGG Tumor
KYNU,ENSG00000115919.14,0.7,LGG Tumor
MYL12A,ENSG00000101608.12,0.7,LGG Tumor
SP100,ENSG00000067066.16,0.7,LGG Tumor
TRIM38,ENSG00000112343.10,0.7,LGG Tumor
SQRDL,ENSG00000137767.13,0.69,LGG Tumor
CFB,ENSG00000243649.8,0.69,LGG Tumor
STX11,ENSG00000135604.9,0.69,LGG Tumor
PLSCR1,ENSG00000188313.12,0.69,LGG Tumor
VDR,ENSG00000111424.10,0.69,LGG Tumor
CCR1,ENSG00000163823.3,0.68,LGG Tumor
TYMP,ENSG00000025708.12,0.68,LGG Tumor
MAP2K3,ENSG00000034152.18,0.68,LGG Tumor
LILRA5,ENSG00000187116.13,0.67,LGG Tumor
SRGN,ENSG00000122862.4,0.67,LGG Tumor
CD300LB,ENSG00000178789.8,0.67,LGG Tumor
NFKBIZ,ENSG00000144802.11,0.67,LGG Tumor
PTPN7,ENSG00000143851.15,0.67,LGG Tumor
ADPRH,ENSG00000144843.11,0.67,LGG Tumor
SERPINB1,ENSG00000021355.12,0.67,LGG Tumor
TES,ENSG00000135269.17,0.67,LGG Tumor
PLAUR,ENSG00000011422.11,0.67,LGG Tumor
LILRB2,ENSG00000131042.13,0.67,LGG Tumor
LYN,ENSG00000254087.7,0.66,LGG Tumor
BCL2A1,ENSG00000140379.7,0.66,LGG Tumor
MLKL,ENSG00000168404.12,0.66,LGG Tumor
B4GALT1,ENSG00000086062.12,0.66,LGG Tumor
GCLM,ENSG00000023909.9,0.66,LGG Tumor
CCR5,ENSG00000160791.13,0.66,LGG Tumor
TNFSF15,ENSG00000181634.7,0.66,LGG Tumor
IFITM2,ENSG00000185201.16,0.66,LGG Tumor
EPSTI1,ENSG00000133106.14,0.65,LGG Tumor
SOCS3,ENSG00000184557.4,0.65,LGG Tumor
LILRB3,ENSG00000204577.11,0.65,LGG Tumor
LCP1,ENSG00000136167.13,0.65,LGG Tumor
C5AR1,ENSG00000197405.7,0.65,LGG Tumor
CD80,ENSG00000121594.11,0.65,LGG Tumor
S100A11,ENSG00000163191.5,0.65,LGG Tumor
VASP,ENSG00000125753.13,0.65,LGG Tumor
PTPN22,ENSG00000134242.15,0.65,LGG Tumor
C2,ENSG00000166278.14,0.64,LGG Tumor
CASP10,ENSG00000003400.14,0.64,LGG Tumor
TNFAIP3,ENSG00000118503.14,0.64,LGG Tumor
GPR84,ENSG00000139572.3,0.64,LGG Tumor
STAT6,ENSG00000166888.10,0.64,LGG Tumor
MSR1,ENSG00000038945.14,0.64,LGG Tumor
TIFA,ENSG00000145365.10,0.64,LGG Tumor
FCER1G,ENSG00000158869.10,0.64,LGG Tumor
SP140,ENSG00000079263.18,0.64,LGG Tumor
APOBEC3G,ENSG00000239713.7,0.64,LGG Tumor
RAB27A,ENSG00000069974.15,0.63,LGG Tumor
RASSF5,ENSG00000266094.6,0.63,LGG Tumor
NMI,ENSG00000123609.10,0.63,LGG Tumor
AC104654.2,ENSG00000234362.5,0.63,LGG Tumor
ADGRE2,ENSG00000127507.17,0.63,LGG Tumor
MAP3K8,ENSG00000107968.9,0.63,LGG Tumor
PLBD1,ENSG00000121316.10,0.63,LGG Tumor
RP11-93B14.9,ENSG00000277496.1,0.63,LGG Tumor
SCPEP1,ENSG00000121064.12,0.63,LGG Tumor
SP140L,ENSG00000185404.16,0.63,LGG Tumor
SH2B3,ENSG00000111252.10,0.63,LGG Tumor
CTSZ,ENSG00000101160.13,0.63,LGG Tumor
PLK3,ENSG00000173846.12,0.63,LGG Tumor
CLIC1,ENSG00000213719.8,0.63,LGG Tumor
ZC3H12A,ENSG00000163874.8,0.63,LGG Tumor
AKAP2,ENSG00000241978.9,0.62,LGG Tumor
HLA-E,ENSG00000204592.8,0.62,LGG Tumor
CSF2RB,ENSG00000100368.13,0.62,LGG Tumor
TFEC,ENSG00000105967.15,0.62,LGG Tumor
IL10,ENSG00000136634.5,0.62,LGG Tumor
ARHGAP29,ENSG00000137962.12,0.62,LGG Tumor
FPR3,ENSG00000187474.4,0.62,LGG Tumor
ICAM1,ENSG00000090339.8,0.62,LGG Tumor
VNN2,ENSG00000112303.13,0.62,LGG Tumor
BCL3,ENSG00000069399.12,0.62,LGG Tumor
EOGT,ENSG00000163378.13,0.62,LGG Tumor
CD200R1,ENSG00000163606.10,0.62,LGG Tumor
CD2AP,ENSG00000198087.7,0.62,LGG Tumor
TNFSF8,ENSG00000106952.7,0.62,LGG Tumor
TNFRSF1B,ENSG00000028137.16,0.62,LGG Tumor
CARD8-AS1,ENSG00000268001.1,0.62,LGG Tumor
FCGR2A,ENSG00000143226.13,0.62,LGG Tumor
GLRX,ENSG00000173221.13,0.62,LGG Tumor
MIR22HG,ENSG00000186594.12,0.62,LGG Tumor
CTSS,ENSG00000163131.10,0.62,LGG Tumor
SERPING1,ENSG00000149131.15,0.61,LGG Tumor
SEC24D,ENSG00000150961.14,0.61,LGG Tumor
MYO1G,ENSG00000136286.14,0.61,LGG Tumor
MX2,ENSG00000183486.12,0.61,LGG Tumor
CCRL2,ENSG00000121797.9,0.61,LGG Tumor
OSCAR,ENSG00000170909.13,0.61,LGG Tumor
FES,ENSG00000182511.11,0.61,LGG Tumor
DOK3,ENSG00000146094.13,0.61,LGG Tumor
ARHGAP18,ENSG00000146376.10,0.61,LGG Tumor
TNFSF10,ENSG00000121858.10,0.61,LGG Tumor
FUCA1,ENSG00000179163.11,0.61,LGG Tumor
ARHGAP25,ENSG00000163219.11,0.61,LGG Tumor
FAM83G,ENSG00000188522.14,0.61,LGG Tumor
FGL2,ENSG00000127951.5,0.61,LGG Tumor
CASP8,ENSG00000064012.21,0.61,LGG Tumor
TIMD4,ENSG00000145850.8,0.61,LGG Tumor
ITGA5,ENSG00000161638.10,0.61,LGG Tumor
CSTA,ENSG00000121552.3,0.61,LGG Tumor
IFITM3,ENSG00000142089.15,0.61,LGG Tumor
PARP9,ENSG00000138496.16,0.61,LGG Tumor
FAM129A,ENSG00000135842.16,0.61,LGG Tumor
CTA-384D8.35,ENSG00000272666.1,0.61,LGG Tumor
RILPL2,ENSG00000150977.10,0.6,LGG Tumor
TNFAIP8,ENSG00000145779.7,0.6,LGG Tumor
CASP1,ENSG00000137752.22,0.6,LGG Tumor
PDCD1,ENSG00000188389.10,0.6,LGG Tumor
CFLAR,ENSG00000003402.19,0.6,LGG Tumor
LILRA6,ENSG00000244482.9,0.6,LGG Tumor
PIM1,ENSG00000137193.13,0.6,LGG Tumor
SIGLEC9,ENSG00000129450.8,0.6,LGG Tumor
PTGER4,ENSG00000171522.5,0.6,LGG Tumor
CYTIP,ENSG00000115165.9,0.6,LGG Tumor
GALM,ENSG00000143891.16,0.6,LGG Tumor
RAC2,ENSG00000128340.14,0.6,LGG Tumor
NUAK2,ENSG00000163545.8,0.6,LGG Tumor
LATS2,ENSG00000150457.8,0.6,LGG Tumor
APOBEC3D,ENSG00000243811.7,0.6,LGG Tumor
RIPK3,ENSG00000129465.15,0.6,LGG Tumor
PDLIM1,ENSG00000107438.8,0.6,LGG Tumor
CISH,ENSG00000114737.15,0.6,LGG Tumor
SIGLEC1,ENSG00000088827.12,0.6,LGG Tumor
