Gene Symbol,Gene ID,PCC
APOL2,ENSG00000128335.13,0.95
APOBEC3G,ENSG00000239713.7,0.94
SAMSN1,ENSG00000155307.17,0.94
GIMAP7,ENSG00000179144.4,0.94
APOL6,ENSG00000221963.5,0.94
STAT1,ENSG00000115415.18,0.94
MS4A6A,ENSG00000110077.14,0.94
APOL1,ENSG00000100342.20,0.94
GFI1,ENSG00000162676.11,0.93
IRF1,ENSG00000125347.13,0.93
GPR65,ENSG00000140030.5,0.93
CCL4,ENSG00000275302.1,0.93
LILRB1,ENSG00000104972.14,0.93
TAP1,ENSG00000168394.10,0.93
PDCD1,ENSG00000188389.10,0.93
LCP2,ENSG00000043462.11,0.93
MIR155HG,ENSG00000234883.3,0.93
SLC31A2,ENSG00000136867.10,0.93
SIGLEC10,ENSG00000142512.14,0.93
HLA-DRA,ENSG00000204287.13,0.93
GIMAP4,ENSG00000133574.9,0.93
TYMP,ENSG00000025708.12,0.93
NFATC2,ENSG00000101096.19,0.93
CIITA,ENSG00000179583.17,0.92
PSME2,ENSG00000100911.13,0.92
IL15RA,ENSG00000134470.19,0.92
BIN2,ENSG00000110934.10,0.92
IL10RA,ENSG00000110324.9,0.92
PTPRE,ENSG00000132334.16,0.92
HCK,ENSG00000101336.12,0.92
TFEC,ENSG00000105967.15,0.92
IL15,ENSG00000164136.16,0.91
PARP14,ENSG00000173193.13,0.91
DOK2,ENSG00000147443.12,0.91
FGD2,ENSG00000146192.14,0.91
RASSF5,ENSG00000266094.6,0.91
EPSTI1,ENSG00000133106.14,0.91
SLA,ENSG00000155926.13,0.91
PCED1B,ENSG00000179715.12,0.91
CYTH4,ENSG00000100055.20,0.91
ST8SIA4,ENSG00000113532.12,0.91
B2M,ENSG00000166710.17,0.91
SNX20,ENSG00000167208.14,0.91
AIM2,ENSG00000163568.13,0.91
SECTM1,ENSG00000141574.7,0.91
SQRDL,ENSG00000137767.13,0.91
KLHDC7B,ENSG00000130487.5,0.91
AIF1,ENSG00000204472.12,0.91
TNFAIP8L2,ENSG00000163154.5,0.91
ARHGAP9,ENSG00000123329.17,0.91
EVI2A,ENSG00000126860.11,0.91
IL12RB1,ENSG00000096996.15,0.91
IL18,ENSG00000150782.11,0.91
C5orf56,ENSG00000197536.10,0.91
GMFG,ENSG00000130755.12,0.91
CXorf21,ENSG00000120280.5,0.91
NLRC5,ENSG00000140853.15,0.91
TNFSF10,ENSG00000121858.10,0.91
RP11-1094M14.8,ENSG00000267369.1,0.9
TNFSF13B,ENSG00000102524.11,0.9
APOL3,ENSG00000128284.19,0.9
GIMAP1,ENSG00000213203.2,0.9
FCGR1B,ENSG00000198019.12,0.9
CD247,ENSG00000198821.10,0.9
GZMA,ENSG00000145649.7,0.9
SIT1,ENSG00000137078.8,0.9
PSME2P2,ENSG00000225131.2,0.9
GBP5,ENSG00000154451.14,0.9
LILRB2,ENSG00000131042.13,0.9
CD3D,ENSG00000167286.9,0.9
IL2RB,ENSG00000100385.13,0.9
CD86,ENSG00000114013.15,0.9
VAV1,ENSG00000141968.7,0.9
NOD2,ENSG00000167207.11,0.9
DOCK2,ENSG00000134516.15,0.9
TNFAIP8,ENSG00000145779.7,0.9
GIMAP6,ENSG00000133561.15,0.9
MS4A7,ENSG00000166927.12,0.9
TNFRSF1B,ENSG00000028137.16,0.9
RGS18,ENSG00000150681.9,0.9
RARRES3,ENSG00000133321.10,0.9
CLEC12A,ENSG00000172322.13,0.9
SLA2,ENSG00000101082.13,0.9
PRR5L,ENSG00000135362.13,0.9
GBP1P1,ENSG00000225492.6,0.9
CD8A,ENSG00000153563.15,0.9
COL22A1,ENSG00000169436.16,0.9
TMEM51,ENSG00000171729.13,0.9
CXCR2P1,ENSG00000229754.1,0.9
CD2,ENSG00000116824.4,0.9
ZBED2,ENSG00000177494.5,0.9
NCKAP1L,ENSG00000123338.12,0.9
CD53,ENSG00000143119.12,0.9
IRF8,ENSG00000140968.10,0.9
GBP1,ENSG00000117228.9,0.9
EMB,ENSG00000170571.11,0.89
PIK3AP1,ENSG00000155629.14,0.89
EBI3,ENSG00000105246.5,0.89
TRIM69,ENSG00000185880.12,0.89
SLFN12L,ENSG00000205045.8,0.89
